USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
KY,21075,00516884,Fulton County,533358346,64084949,205.931,24.743,36.552511,-89.187659
KY,21077,00516885,Gallatin County,254699489,16518571,98.340,6.378,38.760103,-84.862153
KY,21079,00516886,Garrard County,595898801,10017651,230.078,3.868,37.630162,-84.545856
KY,21081,00516887,Grant County,668126450,7253735,257.965,2.801,38.649160,-84.625927
KY,21083,00516888,Graves County,1429026032,13047565,551.750,5.038,36.723344,-88.649897
KY,21085,00516889,Grayson County,1291451120,32112260,498.632,12.399,37.458577,-86.344011
KY,21087,00516890,Green County,740837706,7123457,286.039,2.750,37.269637,-85.561403
KY,21089,00516891,Greenup County,892125673,25894139,344.452,9.998,38.563562,-82.933820
KY,21091,00516892,Hancock County,486020462,29093100,187.654,11.233,37.843325,-86.792761
KY,21093,00516893,Hardin County,1614335113,17702152,623.298,6.835,37.695836,-85.963183
KY,21095,00516894,Harlan County,1206487447,6016646,465.827,2.323,36.859223,-83.221497
KY,21097,00516895,Harrison County,793480169,9057533,306.364,3.497,38.444578,-84.334131
KY,21099,00516896,Hart County,1068314377,13912256,412.479,5.372,37.316435,-85.879100
KY,21101,00516897,Henderson County,1130483401,76387049,436.482,29.493,37.792542,-87.572577
KY,21103,00516898,Henry County,741450761,12552369,286.276,4.846,38.451585,-85.119890
KY,21105,00516899,Hickman County,627487975,27882017,242.274,10.765,36.675896,-88.972084
KY,21107,00516900,Hopkins County,1403763241,32165560,541.996,12.419,37.311070,-87.542196
KY,21109,00516901,Jackson County,894055728,3407438,345.197,1.316,37.403458,-84.020576
KY,21111,00516902,Jefferson County,985427632,44565599,380.476,17.207,38.189532,-85.657624
KY,21113,00516903,Jessamine County,445793092,6166287,172.122,2.381,37.873291,-84.583960
KY,21115,00516904,Johnson County,678468095,5639297,261.958,2.177,37.849260,-82.830639
KY,21117,00516905,Kenton County,415050645,10605687,160.252,4.095,38.930503,-84.533438
KY,21119,00516906,Knott County,910427521,3453309,351.518,1.333,37.359724,-82.945724
KY,21121,00516907,Knox County,1000508839,3753811,386.299,1.449,36.887476,-83.855630
KY,21123,00516908,Larue County,677366038,5418290,261.533,2.092,37.544462,-85.696841
KY,21125,00516909,Laurel County,1123945992,25218354,433.958,9.737,37.113268,-84.119395
KY,21127,00516910,Lawrence County,1076386125,11584860,415.595,4.473,38.074457,-82.738302
KY,21129,00516911,Lee County,540937712,6215038,208.857,2.400,37.608116,-83.719248
KY,21131,00516912,Leslie County,1038181754,9331182,400.844,3.603,37.087846,-83.388617
KY,21133,00516913,Letcher County,875193084,2898572,337.914,1.119,37.118536,-82.861251
